# name;
name;Duo Discus XL 700kg
# mass in kg;
mass;700
# min sink (m/s);
min_sink;0.61
# min sink at (km/h);
min_sink_at;97.6
# best glide ratio;
best_glide;46
# best glide at (km/h);
best_glide_at;110

airspeed (km/h);Sink rate (m/s)
79.61156;0.9295394
80.43361;0.8757905
81.50858;0.8062332
82.71003;0.7493226
83.72177;0.7177056
85.30262;0.692412
86.9467;0.6766036
89.22313;0.65131
90.86721;0.6386632
94.02891;0.619693
97.00091;0.6165313
101.0479;0.6133696
108.4463;0.65131
113.1256;0.682927
120.0181;0.7335141
127.7958;0.8125566
134.3722;0.8821139
140.1265;0.9611564
149.4219;1.090786
156.5041;1.188799
164.1554;1.30262
171.0479;1.441735
176.9919;1.580849
182.8726;1.723126
187.8049;1.881211
192.0416;2.064589
196.4679;2.28907
201.4634;2.532521
205.6369;2.747516
209.5574;2.94038
212.15;3.073171
