# name;
name;LS-8 18m 483kg
# mass in kg;
mass;483
# min sink (m/s);
min_sink;0.57
# min sink at (km/h);
min_sink_at;96
# best glide ratio;
best_glide;47.6
# best glide at (km/h);
best_glide_at;111
;
airspeed (km/h);Sink rate (m/s)
90;0.7358777
91.11487;0.674809
92.33109;0.6320609
93.75;0.5954196
96.18243;0.5709922
100.0338;0.5862594
104.4932;0.6137403
111.1824;0.6473281
116.7568;0.6870227
122.7365;0.7419845
130.0338;0.8091601
135.9122;0.8610685
141.1824;0.9312975
148.1757;1.029007
155.0676;1.123664
160.946;1.221374
166.2162;1.30687
173.4122;1.444275
178.3784;1.541985
184.2568;1.703817
189.3243;1.844275
194.5946;2.036641
199.1554;2.219847
203.3108;2.406107
207.1622;2.619847
210.7095;2.796946
213.6487;3.001527
216.5878;3.206107
219.4257;3.407633
222.4662;3.642748
