# name;
name;LS-8 18m 347kg
# mass in kg;
mass;347
# min sink (m/s);
min_sink;0.505
# min sink at (km/h);
min_sink_at;82
# best glide ratio;
best_glide;47.4
# best glide at (km/h);
best_glide_at;93
;
airspeed (km/h);Sink rate (m/s)
76.92567;0.6273909
77.33109;0.6029074
77.83784;0.5845447
78.24325;0.5661821
79.05405;0.5386381
79.66216;0.5202754
80.06757;0.5110941
81.18243;0.5049732
82.5;0.5049732
84.22298;0.5110941
85.94595;0.517215
88.37838;0.5294567
92.83784;0.544759
99.22298;0.5876052
106.9257;0.6457536
113.6149;0.7192042
119.7973;0.7895945
125.777;0.8569242
131.4527;0.9487375
137.027;1.028309
142.2973;1.117062
147.7703;1.221117
152.9392;1.331293
158.7162;1.472073
163.5811;1.640398
167.7365;1.802601
173.0068;2.016832
177.7703;2.270849
182.7365;2.567712
185.9797;2.812548
190.3378;3.109411
